blk_height,deanon_ratio
235000,0.9645346311384417
236000,0.9645025670036802
237000,0.964325180536194
238000,0.9643431761762171
239000,0.9641505314540838
240000,0.9638386811280857
241000,0.9632741393926605
242000,0.9633120617751679
243000,0.9632632920470638
244000,0.9632300439409593
245000,0.9632271290868964
246000,0.9632433104569974
247000,0.9632195784256359
248000,0.9632339774159672
249000,0.963199639933383
250000,0.9631007588041787
251000,0.9630965989763766
252000,0.9630910084247083
253000,0.9630802264851983
254000,0.963098454331308
255000,0.9631240651969905
256000,0.9631169120985903
257000,0.9630956228166377
258000,0.9631138352431432
259000,0.9631306294528027
260000,0.9631106795103229
261000,0.9630993001164408
262000,0.9630421011773912
263000,0.9630261622230396
264000,0.9629404746325023
265000,0.9629103400725998
266000,0.9628969568700365
267000,0.9628711417936527
